"video_id","titulo","canal","pais_id","fecha_publicacion","fecha_snapshot","vistas","likes","comentarios","duracion_min","categoria_id"
"FzTtdmYSTxM","Mix Oreja de Van Gogh - Son del Duke","Orquesta SON DEL DUKE",1,"2026-01-11","2026-01-12",205747,7797,1076,"6",10
"-poSVOan2fw","The Prototype | Poppy Playtime Chapter 5 Cinematic Trailer","Mob Entertainment",1,"2026-01-10","2026-01-12",2545581,223067,17363,"1.77",20
"XZ1t5FbL92Q","[ES] DreamLeague S28: CQ - GRAN FINAL","América Esports Dota2",1,"2026-01-12","2026-01-12",147804,2095,5,"515.03",20
"v_uTktHtBXg","Ana Gabriel - No Te Hago Falta (Letra/Lyrics)","Amanecer",1,"2026-01-04","2026-01-12",99761,272,10,"4.98",22
"U31h34fvbiI","15 DETALLES OCULTOS de POPPY PLAYTIME 5 💙 Tráiler 3 (Análisis)","Nintendúo",1,"2026-01-10","2026-01-12",352266,13433,407,"9.97",20
"3evTODUTlbU","ENCONTRÉ UN LEGENDARIO, PERO... (Minecraft Pokemon, Episodio 7)","Rubius Z",1,"2026-01-11","2026-01-12",821697,75877,4404,"27.6",20
"wRJLmynZCVQ","Darell, Brytiago - VELITAS (Letra)","Sonalux",1,"2026-01-08","2026-01-12",71335,186,6,"3.78",10
"PBjxFUgzl_o","Tobey Maguire en Avengers Doomsday I Loki protagonista I Trailer Final podría arreglar las cosas...","Somos Geeks",1,"2026-01-11","2026-01-12",97731,3829,261,"17.78",1
"L7e14GV1LzQ","NUEVA MAQUINA DE PVP EN ROBA UN BRAINROT!🥊","ElAbrahaham",1,"2026-01-11","2026-01-12",479175,15944,2349,"30.85",20
"UJi4unnPaSA","Tu Hombre Ideal","Grupo Amor Rebelde - Topic",1,"2026-01-09","2026-01-12",11560,428,0,"4.37",10
"ThCDAkRMWPk","1006 ESTA AQUI!!! - Poppy Playtime Capitulo 5 Trailer - Analisis y Reaccion","ÑeBoyGamer",1,"2026-01-10","2026-01-12",133404,8729,1408,"14.85",20
"NypCUh8l7_w","Encontramos un MULTIPLICADOR de DIAMANTES en Minecraft!","Dagar",1,"2026-01-11","2026-01-12",350556,5607,429,"23.58",20
"VyOgrJfBxh0","Ana Gabriel - Quién Como Tú (Letra)","RIXELUS",1,"2026-01-05","2026-01-12",140820,333,3,"3.53",10
"KxqECW0-f3o","PERÚ VS BRASIL | 👑 Kings World Cup Nations 2026 👑","Zein",1,"2026-01-11","2026-01-12",81594,9057,59,"93.97",24
"a45_83NQWAA","Sia - Cheap Thrills (Lyrics) ft. Sean Paul","Arcade Music",1,"2026-01-05","2026-01-12",871329,4155,19,"3.75",10
"JqZSehCOxc8","CONSEGUI EL BRAINROT MAS OP EN PVP COMPLETO (STEAL A BRAINROT ROBLOX)","Chuy Mine",1,"2026-01-11","2026-01-12",169980,4959,357,"22.8",20
"lUF8_UNgJ0M","Jesse & Joy - Dueles (Letra)","Aquarius Reggaeton",1,"2026-01-10","2026-01-12",108726,293,2,"4.13",10
"xktwUbS981Y","Viviendo como ZOMBIE BEBÉ en Minecraft!","Awita",1,"2026-01-11","2026-01-12",142505,4833,523,"28.68",20
"w74JzRt7xUI","La Noche Mas Linda","Adalberto Santiago - Topic",1,"2025-12-29","2026-01-12",105071,1392,19,"5.7",10
"BgN8-Kbm_Qk","!LLUVIA DE GOLES¡ BARCELONA 3 - 2 REAL MADRID⚽ SUPERCOPA - PARTIDO SIMULADO - RELATO REY DEPORTIVO","REY DEPORTIVO",1,"2026-01-11","2026-01-12",836888,2449,7,"125.53",17
"1Oqtu1wBvMM","Alan Walker (Remix) No Volveré || Official Music Video","Yauri Music",1,"2026-01-10","2026-01-12",15955,276,13,"2.22",10
"cNMKFhdTN6I","🇪🇸 👑 Kings World Cup Nations 2026 👑 Jornada 3 Día 2","Kings League Spain",1,"2026-01-12","2026-01-12",335523,2991,7,"465.38",17
"bm3CYznGz8I","Recuerdos de un mal amor - Zafiro Sensual - Clip Oficial","Zafiro Sensual Oficial",1,"2026-01-09","2026-01-12",116796,3894,288,"6.68",10
"Wf6Ocyr42YM","STEAL A BRAINROT PERO LOS BRAINROT PUEDEN COMERTE 🤩😮","ChuuyMine",1,"2026-01-10","2026-01-12",955293,18404,747,"21.78",20
"rB503AM-SRc","Juan Gabriel - Así Fue (Letra)","Voces del Alma",1,"2026-01-09","2026-01-12",592170,1011,22,"6.32",22
"uVGvumlS_MY","NUNCA JUEGUES la TORRE TROLL de STRANGER THINGS en Roblox","Lyna",1,"2026-01-11","2026-01-12",184704,3206,385,"17.9",20
"Cu6CEoXhQlA","Romeo Santos - Necio (Letra)","Harmony Lyrics",1,"2026-01-03","2026-01-12",36451,55,3,"4.42",22
"4mmvfpoE000","Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger 3d Animal Game Funny 3d Animals","Flygame Animals",1,"2026-01-11","2026-01-12",271078,12656,191,"10.58",1
"C159tAx3WvE","Tainy, Anuel AA, Ozuna - Adicto (Letra)","Urban Fest",1,"2026-01-11","2026-01-12",17898,69,0,"4.68",22
"omHpTVb45tM","😲analizan GAME 3 Final HEROIC vs PERU REJECTS Bo5 DREAMLEAGUE S28😲Parker, Scofield vs Wisper","CHANCHITO DOTA",1,"2026-01-12","2026-01-12",5993,135,27,"22.18",20
"WL0vXPCjsgQ","Paleta Dame Paleta | DJ Hazel Mty, Luselena Macias, El Colins (Visualizer)","DJ Hazel Mty",1,"2026-01-10","2026-01-12",35221,287,15,"2.02",10
"51qoKbBlJhA","REAL MADRID 3-2 BARCELONA | FINAL SUPER COPA DE ESPAÑA 2026 | Resumen simulación de videojuego","十Loork Football",1,"2026-01-11","2026-01-12",522711,4152,0,"3.92",20
"bES1MvuG6V8","Michael Bolton - Said I Loved You... But I Lied (Lyrics)","Two Souls",1,"2026-01-05","2026-01-12",141816,474,32,"5.02",10
"17LJYFW4fkY","CRÓNICAS DE HERLE EP 130 || ESTAMOS DE REGRESO!!!!!! Let's Fu**ing Go 👹👹","H E R L E K I N G",1,"2026-01-11","2026-01-12",87664,11965,1539,"14.62",20
"4c2LgeyQlgg","Alci Acosta - No Renunciaré (Letra/Lyrics)","imferse - ",1,"2026-01-07","2026-01-12",64211,218,1,"3.15",10
"OmpTZB5Sh9k","Cada Segundo +1 de VELOCIDAD para ESCAPAR DE LA MUERTE en Roblox!","Dagar Roblox",1,"2026-01-11","2026-01-12",188232,2450,178,"15.15",20
"SqGgop-FPzY","Survivor - Eye Of The Tiger (Sub. Español + Lyrics) • Rocky III Soundtrack","nostalgia lyrics.",1,"2026-01-04","2026-01-12",109598,1033,20,"4.07",10
"bI2G2mQJO9w","COMENZAMOS EL 2026 DE LA MEJOR MANERA POSIBLE!!! CON LOS PODERES PERUANOS!!!","Golemcito Games",1,"2026-01-11","2026-01-12",117722,12785,373,"10.32",20
"GEI3NWGU0dU","Falsas Promesas","Oscar Manuel y su Historia Romántica - Topic",1,"2026-01-09","2026-01-12",32635,97,0,"6.03",10
"qjew1yoIQxs","Le Hice STREAM SNIPING a Mi CRUSH Como CRIATURA MARÍTIMA PROTECTORA en Criaturas del Sonaria","TurboBlox",1,"2026-01-11","2026-01-12",129769,2753,202,"15.88",20
"4jSW9maFjJQ","Río Roma - Mi Persona Favorita (Letra/Lyrics)","Pulse Latin",1,"2026-01-05","2026-01-12",17557,52,0,"3.2",10
"hO6fQNj5WLc","Probé Steal a Brainrot por ULTIMA VEZ???","SoyNeto",1,"2026-01-11","2026-01-12",136896,3204,553,"28.8",20
"IvnU30kRvGo","The Chainsmokers, Daya - Don't Let Me Down (Lyrics) 2016 Vibes ✨","Tearbluee",1,"2026-01-04","2026-01-12",328131,819,10,"3.47",10
"uOmnIV2HK4I","ESCAPA del MEGA TSUNAMI de BRAINROTS en Roblox...","Neto y Flex",1,"2026-01-10","2026-01-12",667914,6268,608,"37.87",20
"mrV8kK5t0V8","Bruno Mars - I Just Might [Official Music Video]","Bruno Mars",1,"2026-01-09","2026-01-12",15209004,847862,41928,"3.55",10
"v5c8Yuom5jE","Una Anomalia se lleva a mi hermanita en Scary Shawarma Kiosk: the ANOMALY roblox | paolazgames","paolazgames",1,"2026-01-11","2026-01-12",78921,1177,212,"20.68",20
"4Mftjtzee9w","Wish","Wonpil (DAY6) - Topic",1,"2026-01-07","2026-01-12",874121,43610,0,"3.12",10
"DnqItmZESnM","JUGANDO el NUEVO PVP en STEAL A BRAINROT con LOS BROS 🔥","Juan Pablo Hollman",1,"2026-01-11","2026-01-12",137465,4099,220,"21.07",22
"7u1wdEmwtFk","Shakira - Chantaje ft. Maluma (Letra)","Big Sound",1,"2026-01-04","2026-01-12",191506,777,5,"3.25",10
"pln2V1kgA2A","NO COMAS LA BOMBA MOMENTOS DIVERTIDOS (BOMB CHIP) (ROBLOX)","RoxiCake Gamer",1,"2026-01-10","2026-01-12",393252,10137,1627,"11.92",20
"v_uTktHtBXg","Ana Gabriel - No Te Hago Falta (Letra/Lyrics)","Amanecer",2,"2026-01-04","2026-01-12",99761,272,10,"4.98",22
"-poSVOan2fw","The Prototype | Poppy Playtime Chapter 5 Cinematic Trailer","Mob Entertainment",2,"2026-01-10","2026-01-12",2545581,223067,17363,"1.77",20
"p7pec1ePLLI","All Eyes on Me","Dj Belite - Topic",3,"2026-01-05","2026-01-13",2295327,29678,37,"2.77",10
"cNMKFhdTN6I","🇪🇸 👑 Kings World Cup Nations 2026 👑 Jornada 3 Día 2","Kings League Spain",2,"2026-01-12","2026-01-12",335523,2991,7,"465.38",17
"VyOgrJfBxh0","Ana Gabriel - Quién Como Tú (Letra)","RIXELUS",2,"2026-01-05","2026-01-12",140820,333,3,"3.53",10
"U31h34fvbiI","15 DETALLES OCULTOS de POPPY PLAYTIME 5 💙 Tráiler 3 (Análisis)","Nintendúo",2,"2026-01-10","2026-01-12",352266,13433,407,"9.97",20
"3evTODUTlbU","ENCONTRÉ UN LEGENDARIO, PERO... (Minecraft Pokemon, Episodio 7)","Rubius Z",2,"2026-01-11","2026-01-12",821697,75877,4404,"27.6",20
"lUF8_UNgJ0M","Jesse & Joy - Dueles (Letra)","Aquarius Reggaeton",2,"2026-01-10","2026-01-12",108726,293,2,"4.13",10
"PBjxFUgzl_o","Tobey Maguire en Avengers Doomsday I Loki protagonista I Trailer Final podría arreglar las cosas...","Somos Geeks",2,"2026-01-11","2026-01-12",97731,3829,261,"17.78",1
"L7e14GV1LzQ","NUEVA MAQUINA DE PVP EN ROBA UN BRAINROT!🥊","ElAbrahaham",2,"2026-01-11","2026-01-12",479175,15944,2349,"30.85",20
"zMCUDwPLJII","Wisin & Yandel, Romeo Santos - Aullando (Letra)","GOD LYRICS",2,"2026-01-04","2026-01-12",63488,141,2,"3.78",10
"8JURytJrjWc","MAX REACTS: Street Fighter 6 Alex Teaser","Maximilian Dood",2,"2026-01-11","2026-01-12",38467,3260,346,"8.15",20
"xktwUbS981Y","Viviendo como ZOMBIE BEBÉ en Minecraft!","Awita",2,"2026-01-11","2026-01-12",142505,4833,523,"28.68",20
"rB503AM-SRc","Juan Gabriel - Así Fue (Letra)","Voces del Alma",2,"2026-01-09","2026-01-12",592170,1011,22,"6.32",22
"ThCDAkRMWPk","1006 ESTA AQUI!!! - Poppy Playtime Capitulo 5 Trailer - Analisis y Reaccion","ÑeBoyGamer",2,"2026-01-10","2026-01-12",133404,8729,1408,"14.85",20
"9wAPS_Cp3ps","SQUID CRAFT GAMES 4: POV DEL VILLANO 🦑💀","Farfadox",2,"2026-01-10","2026-01-12",540092,27705,1593,"109.43",20
"loH9rSjron8","Yeison Jiménez - Aventurero (Letra)","Keller Lyrics",2,"2026-01-11","2026-01-12",413957,2299,146,"3.2",10
"ESuudOYb5Y8","Avengers: Doomsday _ X-Men Reveal Trailer (2026) Marvel 4K","MovieGasm‍․com",2,"2026-01-06","2026-01-12",1106577,8364,853,"3.4",1
"NypCUh8l7_w","Encontramos un MULTIPLICADOR de DIAMANTES en Minecraft!","Dagar",2,"2026-01-11","2026-01-12",350556,5607,429,"23.58",20
"WooibzdxsDI","Ella Anda Sola","DJ Memo - Topic",2,"2026-01-09","2026-01-12",60961,469,0,"2.85",10
"qx4zjMFa1_c","Malcolm In The Middle: La vida sigue siendo injusta | Avance | Disney+","Disney+ Latinoamérica",2,"2026-01-09","2026-01-12",110669,4724,264,"0.52",22
"uVGvumlS_MY","NUNCA JUEGUES la TORRE TROLL de STRANGER THINGS en Roblox","Lyna",2,"2026-01-11","2026-01-12",184704,3206,385,"17.9",20
"fEy07GZ7auw","Is This Love (2017 Remix)","Whitesnake - Topic",2,"2026-01-05","2026-01-12",93567,1159,4,"5.43",10
"qjew1yoIQxs","Le Hice STREAM SNIPING a Mi CRUSH Como CRIATURA MARÍTIMA PROTECTORA en Criaturas del Sonaria","TurboBlox",2,"2026-01-11","2026-01-12",129769,2753,202,"15.88",20
"a45_83NQWAA","Sia - Cheap Thrills (Lyrics) ft. Sean Paul","Arcade Music",2,"2026-01-05","2026-01-12",871329,4155,19,"3.75",10
"JqZSehCOxc8","CONSEGUI EL BRAINROT MAS OP EN PVP COMPLETO (STEAL A BRAINROT ROBLOX)","Chuy Mine",2,"2026-01-11","2026-01-12",169980,4959,357,"22.8",20
"C159tAx3WvE","Tainy, Anuel AA, Ozuna - Adicto (Letra)","Urban Fest",2,"2026-01-11","2026-01-12",17898,69,0,"4.68",22
"oPUDXbuBkjo","🔴 ARK - INVESTIGAMOS UN PUEBLO + LORE ANTONIO - ARK LC","Nexxuz World",2,"2026-01-11","2026-01-12",94605,7330,40,"170.42",20
"p-nzbzYXnk8","Jerry Rivera - Que Hay De Malo (Letra)","SabroSón",2,"2026-01-04","2026-01-12",197142,334,5,"5.02",10
"Wf6Ocyr42YM","STEAL A BRAINROT PERO LOS BRAINROT PUEDEN COMERTE 🤩😮","ChuuyMine",2,"2026-01-10","2026-01-12",955293,18404,747,"21.78",20
"uVQK7251p5I","Yo Me Enamoré","Amar Azul - Topic",2,"2026-01-06","2026-01-12",123044,784,0,"3.22",10
"CEtePoSk-Lc","Pokémon Super P Ep.21 - SLAKING AL LOCKE","Folagor03",2,"2026-01-11","2026-01-12",107770,10372,904,"75.68",20
"AGFWnMlOh5w","Los Comunistas ¿Donde Estan?","Kilómetro Internacional - Topic",2,"2026-01-10","2026-01-12",29392,1368,0,"2.08",10
"6NTam8LVvsE","El Fredbear Mas Rapido Ahora Es Santa Claus / Those Nights At Fredbears Navideño","Omenasito",2,"2026-01-10","2026-01-12",442031,14381,1279,"23.18",20
"cxAEeRwuW-s","Toni Braxton - Un-Break My Heart (Lyrics)","Aura Hype",2,"2026-01-04","2026-01-12",401913,1357,27,"4.42",10
"v5c8Yuom5jE","Una Anomalia se lleva a mi hermanita en Scary Shawarma Kiosk: the ANOMALY roblox | paolazgames","paolazgames",2,"2026-01-11","2026-01-12",78921,1177,212,"20.68",20
"2wycfkk4f60","Nunca Me Faltes","Antonio Ríos - Topic",2,"2026-01-06","2026-01-12",42882,300,0,"4.15",10
"hqEuNKw0yS0","EL PELIGRO DIVIDE BROOKHAVEN RP..","SoyWelix Brookhaven",2,"2026-01-11","2026-01-12",153988,1858,86,"13.97",22
"O9hmkMUh4QU","Alejandro Fernández - Me Dedique A Perderte (Letra)","Eternal ILY",2,"2026-01-06","2026-01-12",34958,87,3,"3.9",22
"NpN8i-PDWoQ","Colombia VS Chile | Highlights | Round 03 - Matchday 09","Kings World",2,"2026-01-11","2026-01-12",3436,79,8,"5.87",17
"a7DtlXpUj4I","Golden (Glowin' Version)","HUNTR/X - Topic",2,"2026-01-09","2026-01-12",2020604,25446,0,"3.18",10
"adZsd0YwctU","Sobreviví a un Apocalipsis Zombie en Minecraft!","Trolero",2,"2026-01-11","2026-01-12",83945,1902,165,"26.33",20
"cUh5zlF8a00","TOTO - Hold The Line (Sub. Español + Lyrics)","nostalgia lyrics.",2,"2026-01-04","2026-01-12",134517,1494,15,"3.95",10
"BgN8-Kbm_Qk","!LLUVIA DE GOLES¡ BARCELONA 3 - 2 REAL MADRID⚽ SUPERCOPA - PARTIDO SIMULADO - RELATO REY DEPORTIVO","REY DEPORTIVO",2,"2026-01-11","2026-01-12",836888,2449,7,"125.53",17
"DuaYp3nYZ4E","Llora llora corazón","El Rancherito Leodan - Topic",2,"2026-01-05","2026-01-12",17279,201,0,"4.3",10
"g9ymzIdblx8","💀 MINECRAFT HARDCORE #4: el final??? ","Auron",2,"2026-01-11","2026-01-12",92043,6973,175,"57.52",20
"2DdRQ4rWzZ0","Rocío Dúrcal - Como Tu Mujer (Letra)","jostland.",2,"2026-01-08","2026-01-12",825256,3714,19,"4.4",10
"MBEHLMT4Vek","Avances PUEBLO NORDICO y Novedades (MINECRAFT SURVIVAL en DIOSESMC)","VEGETTA777",2,"2026-01-11","2026-01-12",123590,7483,45,"221.02",20
"sHF60UmHQ6Q","Lucky Brown - Baila Para Mi (Official Video)","Lucky Brown",2,"2026-01-08","2026-01-12",325809,11805,1677,"2.4",10
"Lqs6R-lwsLo","ESCONDIDAS EXTREMO en BROOKHAVEN","SoyWelix",2,"2026-01-11","2026-01-12",136017,1671,104,"13.42",22
"Cu6CEoXhQlA","Romeo Santos - Necio (Letra)","Harmony Lyrics",2,"2026-01-03","2026-01-12",36451,55,3,"4.42",22
"LZwQmy1NVGY","ALE CEBERIO / Zapada EN VIVO en UN POCO DE RUIDO !","Un Poco De Ruido",3,"2026-01-10","2026-01-12",536894,8622,657,"18.33",10
"-poSVOan2fw","The Prototype | Poppy Playtime Chapter 5 Cinematic Trailer","Mob Entertainment",3,"2026-01-10","2026-01-12",2545581,223067,17363,"1.77",20
"3evTODUTlbU","ENCONTRÉ UN LEGENDARIO, PERO... (Minecraft Pokemon, Episodio 7)","Rubius Z",3,"2026-01-11","2026-01-12",821697,75877,4404,"27.6",20
